"scenario","region","gcam_cover","year","gcam_cover_area_thouskm2"
"AG_FDBK","Global","gcam_nb_crop",2040,15645.8602723104
"AG_FDBK","Global","gcam_nb_crop",2045,15445.3573937605
"AG_FDBK","Global","gcam_nb_crop",2050,15126.9557802569
"AG_FDBK","Global","gcam_nb_crop",2055,14803.5958386276
"AG_FDBK","Global","gcam_nb_crop",2060,14697.4171059073
"AG_FDBK","Global","gcam_nb_crop",2065,14680.0702980585
"AG_FDBK","Global","gcam_nb_crop",2070,14647.0209227234
"AG_FDBK","Global","gcam_nb_crop",2075,14582.9462569219
"AG_FDBK","Global","gcam_nb_crop",2080,14702.1834411746
"AG_FDBK","Global","gcam_nb_crop",2085,14299.1724131163
"AG_FDBK","Global","gcam_nb_crop",2090,14589.7045460314
"AG_FDBK","Global","gcam_nb_crop",2095,14090.948001878
"AG_FDBK","Global","gcam_nb_crop",2100,14427.002245933
"AG_FDBK","Global","gcam_biomass",2015,0
"AG_FDBK","Global","gcam_biomass",2020,0
"AG_FDBK","Global","gcam_biomass",2025,965.777907825707
"AG_FDBK","Global","gcam_biomass",2030,1571.18777055319
"AG_FDBK","Global","gcam_biomass",2035,2211.53446001503
"AG_FDBK","Global","gcam_biomass",2040,2682.90877327269
"AG_FDBK","Global","gcam_biomass",2045,3247.10509717378
"AG_FDBK","Global","gcam_biomass",2050,3456.28349099116
"AG_FDBK","Global","gcam_biomass",2055,3632.16262338245
"AG_FDBK","Global","gcam_biomass",2060,3593.83402960406
"AG_FDBK","Global","gcam_biomass",2065,3581.82889463832
"AG_FDBK","Global","gcam_biomass",2070,3512.06404747178
"AG_FDBK","Global","gcam_biomass",2075,3531.12223443384
"AG_FDBK","Global","gcam_biomass",2080,3561.1981978292
"AG_FDBK","Global","gcam_biomass",2085,3656.33123435084
"AG_FDBK","Global","gcam_biomass",2090,3793.27523287672
"AG_FDBK","Global","gcam_biomass",2095,3824.0539241177
"AG_FDBK","Global","gcam_biomass",2100,3880.20244775663
"C_FDBK","Global","gcam_man_forest",2015,8152.906092199
"C_FDBK","Global","gcam_man_forest",2020,8685.668815029
"C_FDBK","Global","gcam_man_forest",2025,9061.078073821
"C_FDBK","Global","gcam_man_forest",2030,9452.252624536
"C_FDBK","Global","gcam_man_forest",2035,9793.341318025
"C_FDBK","Global","gcam_man_forest",2040,9888.31415053728
"C_FDBK","Global","gcam_man_forest",2045,10031.6668479707
"C_FDBK","Global","gcam_man_forest",2050,10146.4053895107
"C_FDBK","Global","gcam_man_forest",2055,10224.8079269676
"C_FDBK","Global","gcam_man_forest",2060,10274.8616591742
"C_FDBK","Global","gcam_man_forest",2065,10309.49567222
"C_FDBK","Global","gcam_man_forest",2070,10380.0319444953
"C_FDBK","Global","gcam_man_forest",2075,10418.8339582644
"C_FDBK","Global","gcam_man_forest",2080,10424.3093397036
"C_FDBK","Global","gcam_man_forest",2085,10377.9271826296
"C_FDBK","Global","gcam_man_forest",2090,10355.5710573534
"C_FDBK","Global","gcam_man_forest",2095,10354.7862840205
"C_FDBK","Global","gcam_man_forest",2100,10303.6587069627
"C_FDBK","Global","gcam_unman_forest",2015,21769.2445706112
"C_FDBK","Global","gcam_unman_forest",2020,21499.7692549812
"C_FDBK","Global","gcam_unman_forest",2025,21023.0043131602
"C_FDBK","Global","gcam_unman_forest",2030,20646.7135227782
"C_FDBK","Global","gcam_unman_forest",2035,20252.0218650522
"C_FDBK","Global","gcam_unman_forest",2040,20486.8519827662
"C_FDBK","Global","gcam_unman_forest",2045,20485.8959917612
"C_FDBK","Global","gcam_unman_forest",2050,20506.6126263402
"C_FDBK","Global","gcam_unman_forest",2055,20641.3098158488
"C_FDBK","Global","gcam_unman_forest",2060,20824.4213474799
"C_FDBK","Global","gcam_unman_forest",2065,20988.0006193576
"C_FDBK","Global","gcam_unman_forest",2070,21034.0784503963
"C_FDBK","Global","gcam_unman_forest",2075,21089.0468862826
"C_FDBK","Global","gcam_unman_forest",2080,21143.1883971666
"C_FDBK","Global","gcam_unman_forest",2085,21548.6622657614
"C_FDBK","Global","gcam_unman_forest",2090,21593.6278719159
"C_FDBK","Global","gcam_unman_forest",2095,21656.1300326893
"C_FDBK","Global","gcam_unman_forest",2100,21627.5192806931
"C_FDBK","Global","gcam_crop",2015,15838.9827610302
"C_FDBK","Global","gcam_crop",2020,16193.3499172057
"C_FDBK","Global","gcam_crop",2025,17271.4787116587
"C_FDBK","Global","gcam_crop",2030,17946.6547191577
"C_FDBK","Global","gcam_crop",2035,18725.0573624563
"C_FDBK","Global","gcam_crop",2040,18809.2385764981
"C_FDBK","Global","gcam_crop",2045,19158.2426034098
"C_FDBK","Global","gcam_crop",2050,19377.6135801618
"C_FDBK","Global","gcam_crop",2055,19377.7520949415
"C_FDBK","Global","gcam_crop",2060,19213.6002043795
"C_FDBK","Global","gcam_crop",2065,19042.234462238
"C_FDBK","Global","gcam_crop",2070,18983.9964607479
"C_FDBK","Global","gcam_crop",2075,18931.5944503026
"C_FDBK","Global","gcam_crop",2080,18922.7997107264
"C_FDBK","Global","gcam_crop",2085,19047.2420263066
"C_FDBK","Global","gcam_crop",2090,19097.5268913523
"C_FDBK","Global","gcam_crop",2095,19179.5492835315
"C_FDBK","Global","gcam_crop",2100,19122.0822198049
"C_FDBK","Global","gcam_forest",2015,29922.1506628102
"C_FDBK","Global","gcam_forest",2020,30185.4380700102
"C_FDBK","Global","gcam_forest",2025,30084.0823869812
"C_FDBK","Global","gcam_forest",2030,30098.9661473142
"C_FDBK","Global","gcam_forest",2035,30045.3631830772
"C_FDBK","Global","gcam_forest",2040,30375.1661333035
"C_FDBK","Global","gcam_forest",2045,30517.5628397319
"C_FDBK","Global","gcam_forest",2050,30653.0180158509
"C_FDBK","Global","gcam_forest",2055,30866.1177428164
"C_FDBK","Global","gcam_forest",2060,31099.2830066541
"C_FDBK","Global","gcam_forest",2065,31297.4962915776
"C_FDBK","Global","gcam_forest",2070,31414.1103948916
"C_FDBK","Global","gcam_forest",2075,31507.880844547
"C_FDBK","Global","gcam_forest",2080,31567.4977368702
"C_FDBK","Global","gcam_forest",2085,31926.589448391
"C_FDBK","Global","gcam_forest",2090,31949.1989292693
"C_FDBK","Global","gcam_forest",2095,32010.9163167098
"C_FDBK","Global","gcam_forest",2100,31931.1779876558
"C_FDBK","Global","gcam_nb_crop",2015,15838.9827610302
"C_FDBK","Global","gcam_nb_crop",2020,16193.3499172057
"C_FDBK","Global","gcam_nb_crop",2025,16289.2873421665
"C_FDBK","Global","gcam_nb_crop",2030,16357.9548858238
"C_FDBK","Global","gcam_nb_crop",2035,16435.6614915212
"C_FDBK","Global","gcam_nb_crop",2040,16091.2488969105
"C_FDBK","Global","gcam_nb_crop",2045,15886.3611688874
"C_FDBK","Global","gcam_nb_crop",2050,15702.8089530587
"C_FDBK","Global","gcam_nb_crop",2055,15631.3112736357
"C_FDBK","Global","gcam_nb_crop",2060,15501.5188347305
"C_FDBK","Global","gcam_nb_crop",2065,15381.422794678
"C_FDBK","Global","gcam_nb_crop",2070,15342.627139222
"C_FDBK","Global","gcam_nb_crop",2075,15283.0970517677
"C_FDBK","Global","gcam_nb_crop",2080,15218.4943238463
"C_FDBK","Global","gcam_nb_crop",2085,15235.3809792356
"C_FDBK","Global","gcam_nb_crop",2090,15188.9685837753
"C_FDBK","Global","gcam_nb_crop",2095,15201.6833746065
"C_FDBK","Global","gcam_nb_crop",2100,15070.8767859991
"C_FDBK","Global","gcam_biomass",2015,0
"C_FDBK","Global","gcam_biomass",2020,0
"C_FDBK","Global","gcam_biomass",2025,982.191369492189
