"year","region","agglt","glb_agglt_area_thous_sqkm","above_wsum","below_wsum","above_scalar","below_scalar","above_scalar_min","above_scalar_max","below_scalar_min","below_scalar_max"
2045,"Globe","Shrubland",11520.7047406955,12878.5049326756,11661.307426762,1.11785739002439,1.01220434767066,1.11335637832512,1.12031878140059,1.00439927520824,1.0164725743124
2050,"Globe","Crop",16393.0239976733,17019.7644823612,16359.549999807,1.03823214586747,0.997958033986222,0.867064756734409,1.13208009325826,0.931527679077466,1.04537050042224
2050,"Globe","Forest",30504.3714365178,31872.2267875409,30791.4768572831,1.04484128951386,1.00941194350989,1.0281941395412,1.06469421705705,1.00475118271471,1.01476711190895
2050,"Globe","Grassland",18916.825280979,19827.3302989588,18877.4752590544,1.0481320202759,0.997919840071467,1.01966341147973,1.08309869723965,0.989351288808126,1.00844419572993
2050,"Globe","Pasture",30203.0913468212,31623.2900273173,29949.8948586358,1.04702163312318,0.991616868443101,0.984667399822496,1.09532921790427,0.9660543957066,1.01092886242487
2050,"Globe","Shrubland",11422.1828211988,12380.7025472737,11249.6488243481,1.08391738611432,0.984894831438832,1.05380563410325,1.09998575933946,0.969660039665728,0.993024491915826
2055,"Globe","Crop",16027.83695491,17323.5426768662,16365.1930527431,1.08084095973782,1.02104813636314,0.949613727000217,1.2222994951693,0.941423208510615,1.13265673037645
2055,"Globe","Forest",30951.7373292353,31687.7089157237,30903.590691009,1.02377803800348,0.99844446088069,1.01360021761331,1.03186196295482,0.994602530913681,1.00203043019153
2055,"Globe","Grassland",18979.852165104,19691.6591395518,18739.1338867258,1.03750329392747,0.987317167895506,1.0208337183182,1.05810151967924,0.986600845141275,0.988202312073655
2055,"Globe","Pasture",30086.1121870374,31504.151888201,29520.5907964039,1.04713270004273,0.981203241312209,1.02161006072349,1.07919084981191,0.978448943971573,0.986099610736089
2055,"Globe","Shrubland",11456.6341025016,13108.6356272018,11511.0154280051,1.14419606229193,1.00474671050999,1.13155901224332,1.16767407860986,0.999087919537759,1.01526001751397
2060,"Globe","Crop",15826.9708825215,17222.0040696271,16120.3851625552,1.08814277839142,1.01853887785677,0.975399968667574,1.19854641146887,0.959534049970498,1.09200494932415
2060,"Globe","Forest",31109.5840377795,32796.2973858556,31525.4922058193,1.05421844747354,1.01336913304706,1.04309623425397,1.06492693176834,1.00948453056451,1.01871502512117
2060,"Globe","Grassland",19094.477408957,20816.283326609,19240.4131292496,1.09017297937907,1.00764282348069,1.07129708980215,1.11375235990734,1.00714638359788,1.00804023614376
2060,"Globe","Pasture",30117.5181920393,32975.8246215804,29993.806633788,1.09490511174645,0.995892372091801,1.05089578165047,1.12899351179237,0.985569849487715,0.9993096039745
