region,scenario,GCAM_basin_ID,gcam_glu_abbr,year,LT_GCAM,lt_gcam_area_ha,AvailableUnmanaged_area_ha,AvailableUnmanaged_percent _of_AllUnmanaged,GCAM_region_ID,unit_id
Argentina,Reference,200,LaPuna,2015,AllUnmanaged,3860747.5,864260,22.3858203625075,31,31200
Argentina,Reference,203,MarChiq,2015,AllUnmanaged,6949439.2,6293897,90.5669769727606,31,31203
Argentina,Reference,205,Salinas,2015,AllUnmanaged,12252572.069,9811868.4,80.0800709005811,31,31205
Argentina,Reference,206,RioLaPlata,2015,AllUnmanaged,55602546,51145200,91.9835577313312,31,31206
Argentina,Reference,207,ChileCstN,2015,AllUnmanaged,33693.58227,30.5604,0.0907009523508288,31,31207
Argentina,Reference,209,Pampas,2015,AllUnmanaged,5089303.84359595,4969417.82,97.644353190922,31,31209
Argentina,Reference,210,ArgCstN,2015,AllUnmanaged,7287163.9297,6979786,95.7819265126282,31,31210
Argentina,Reference,212,ArgColoR,2015,AllUnmanaged,22403838.28725,10250351,45.7526557216469,31,31212
Argentina,Reference,213,NegroR,2015,AllUnmanaged,11351409.46,4041144,35.6003720440193,31,31213
Argentina,Reference,214,Patagonia,2015,AllUnmanaged,9925085.07203309,120671.409,1.215822414863,31,31214
Argentina,Reference,215,ArgCstS,2015,AllUnmanaged,35658588.441,1268158.3,3.55638951356212,31,31215
Australia_NZ,Reference,184,AusCstN,2015,AllUnmanaged,152367220.43,119213480.5,78.2408973292052,6,6184
Australia_NZ,Reference,189,AusCstE,2015,AllUnmanaged,51769584,44975140,86.8756063405879,6,6189
Australia_NZ,Reference,191,AusCstW,2015,AllUnmanaged,54189273.567,39539529.6,72.9656018568196,6,6191
Australia_NZ,Reference,193,AusInt,2015,AllUnmanaged,288262890,131453900,45.6020891208022,6,6193
Australia_NZ,Reference,201,NewZealand,2015,AllUnmanaged,21528416,13996860,65.0157447719331,6,6201
Australia_NZ,Reference,202,AusCstS,2015,AllUnmanaged,41462040.27,12239844.7,29.5206039555564,6,6202
Australia_NZ,Reference,208,MurrayDrlg,2015,AllUnmanaged,63240894.4,51388560,81.2584333089381,6,6208
Australia_NZ,Reference,211,Tasmania,2015,AllUnmanaged,5211551.8,2896841,55.5849986946306,6,6211
Brazil,Reference,156,OrinocoR,2015,AllUnmanaged,144569.141755881,80010.78,55.3443003314677,7,7156
